group,label,Speedup
sear steak,K,1
sear steak,K+G1,1.1731781
sear steak,K+G2,1.256032246
sear steak,K+G1+G2,1.487509564
sear steak,K+G1+G2+G3,1.589696869
sear steak,K+G1+G2+G3+G4,1.674175915
sear steak,K+G1+G2+G3+G4+G5,1.691529221
coffee martini,K,1
coffee martini,K+G1,1.254147341
coffee martini,K+G2,1.290384998
coffee martini,K+G1+G2,1.627023874
coffee martini,K+G1+G2+G3,1.738881143
coffee martini,K+G1+G2+G3+G4,1.820334064
coffee martini,K+G1+G2+G3+G4+G5,1.820334064
cut roasted beef,K,1
cut roasted beef,K+G1,1.230352273
cut roasted beef,K+G2,1.39990612
cut roasted beef,K+G1+G2,1.730744444
cut roasted beef,K+G1+G2+G3,1.833642541
cut roasted beef,K+G1+G2+G3+G4,1.856117842
cut roasted beef,K+G1+G2+G3+G4+G5,1.860641021
cook spinach,K,1
cook spinach,K+G1,1.147338744
cook spinach,K+G2,1.215032508
cook spinach,K+G1+G2,1.44382627
cook spinach,K+G1+G2+G3,1.499411946
cook spinach,K+G1+G2+G3+G4,1.523901674
cook spinach,K+G1+G2+G3+G4+G5,1.523901674
flame steak,K,1
flame steak,K+G1,1.241740929
flame steak,K+G2,1.34951963
flame steak,K+G1+G2,1.499855019
flame steak,K+G1+G2+G3,1.54828826
flame steak,K+G1+G2+G3+G4,1.596731167
flame steak,K+G1+G2+G3+G4+G5,1.69349133
flame salmon,K,1
flame salmon,K+G1,1.107901341
flame salmon,K+G2,1.269773592
flame salmon,K+G1+G2,1.467617454
flame salmon,K+G1+G2+G3,1.575532288
flame salmon,K+G1+G2+G3+G4,1.683447122
flame salmon,K+G1+G2+G3+G4+G5,1.791361956
dance3,K,1
dance3,K+G1,1.207902761
dance3,K+G2,1.46431461
dance3,K+G1+G2,2.027401902
dance3,K+G1+G2+G3,2.264494723
dance3,K+G1+G2+G3+G4,2.444380882
dance3,K+G1+G2+G3+G4+G5,2.59566374
actor,K,1
actor,K+G1,1.349593589
actor,K+G2,1.389127357
actor,K+G1+G2,1.753858624
actor,K+G1+G2+G3,1.875131285
actor,K+G1+G2+G3+G4,1.996415361
actor,K+G1+G2+G3+G4+G5,2.117688022
